Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Dining Option,Customer ID,Customer Name,Customer Reference ID
12/31/17,16:01:36,Pacific Time (US & Canada),Coffee,Americano,1,"Small, 12 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,16:01:36,Pacific Time (US & Canada),Coffee,Macchiato,1,4 oz (trad),,Decaf,$3.50,$0.00,$3.50,$0.18,To Go,,,
12/31/17,15:47:59,Pacific Time (US & Canada),Tea,Tea,1,English Breakfast,,,$2.60,$0.00,$2.60,$0.13,To Go,,,
12/31/17,15:47:59,Pacific Time (US & Canada),Coffee,Americano,1,"Small, 12 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:47:59,Pacific Time (US & Canada),Coffee,Latte,1,"Small, 12 oz",,,$3.80,$0.00,$3.80,$0.19,To Go,,,
12/31/17,15:47:59,Pacific Time (US & Canada),Coffee,Americano,1,"Small, 12 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:43:37,Pacific Time (US & Canada),Food,Laminated Pastries,2,Plain Croissant,,,$6.80,$0.00,$6.80,$0.34,To Go,,,
12/31/17,15:41:22,Pacific Time (US & Canada),Coffee,Drip Coffee,1,"Med, 16 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:41:22,Pacific Time (US & Canada),Breakfast,Breakfast things,1,Breakfast Burrito,,,$8.50,$0.00,$8.50,$0.43,To Go,,,
12/31/17,15:41:22,Pacific Time (US & Canada),Misc Drinks,Fridge Drinks,1,Pop,,,$1.25,$0.00,$1.25,$0.06,To Go,,,
12/31/17,15:41:22,Pacific Time (US & Canada),Lunch,Sandwich,1,Turkey BLT,,,$8.75,$0.00,$8.75,$0.44,To Go,,,
12/31/17,15:41:22,Pacific Time (US & Canada),Pastries,Scones,1,Mixed berry,,,$4.25,$0.00,$4.25,$0.21,To Go,,,
12/31/17,15:39:33,Pacific Time (US & Canada),Breakfast,Breakfast things,1,Ham & Cheese Croissant,,,$6.95,$0.00,$6.95,$0.35,For Here,,,
12/31/17,15:39:33,Pacific Time (US & Canada),Coffee,Espresso,1,Single...,,,$2.65,$0.00,$2.65,$0.13,For Here,,,
12/31/17,15:38:31,Pacific Time (US & Canada),Coffee,Espresso,1,Single...,,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:38:31,Pacific Time (US & Canada),Coffee,Espresso,2,Double,,,$6.50,$0.00,$6.50,$0.33,To Go,,,
12/31/17,15:36:28,Pacific Time (US & Canada),Misc Drinks,Kids Stuff,1,Med,,,$3.05,$0.00,$3.05,$0.15,To Go,,,
12/31/17,15:36:28,Pacific Time (US & Canada),Coffee,Drip Coffee,1,"Med, 16 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:34:30,Pacific Time (US & Canada),Pastries,Tarts,1,Peach tart,,,$4.50,$0.00,$4.50,$0.22,To Go,,,
12/31/17,15:34:30,Pacific Time (US & Canada),Pastries,Tarts,1,Lemon tarts,,,$4.50,$0.00,$4.50,$0.23,To Go,,,
12/31/17,15:28:15,Pacific Time (US & Canada),Food,Laminated Pastries,2,Plain Croissant,,,$6.80,$0.00,$6.80,$0.34,To Go,,,
12/31/17,15:28:15,Pacific Time (US & Canada),Coffee,Espresso,1,Single...,,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:28:15,Pacific Time (US & Canada),Misc Drinks,Juices,1,Freshly Squeezed OJ,,,$5.50,$0.00,$5.50,$0.28,To Go,,,
12/31/17,15:25:17,Pacific Time (US & Canada),Coffee,Americano,1,"Med, 16 oz",,Decaf,$3.25,$0.00,$3.25,$0.16,To Go,,,
12/31/17,15:23:12,Pacific Time (US & Canada),Coffee,Latte,1,"Med, 16 oz",,,$4.40,$0.00,$4.40,$0.22,To Go,,,
12/31/17,15:23:12,Pacific Time (US & Canada),Coffee,Americano,1,"Small, 12 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:18:41,Pacific Time (US & Canada),Coffee,Drip Coffee,1,"Med, 16 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:17:38,Pacific Time (US & Canada),Coffee,Drip Coffee,1,"Med, 16 oz",,,$2.65,$0.00,$2.65,$0.13,To Go,,,
12/31/17,15:17:38,Pacific Time (US & Canada),Pastries,Cookies,1,Chocolate chip,,,$2.75,$0.00,$2.75,$0.14,To Go,,,
12/31/17,15:14:55,Pacific Time (US & Canada),Coffee,Latte,1,"Med, 16 oz",,,$4.40,$0.00,$4.40,$0.22,To Go,,,
12/31/17,15:14:55,Pacific Time (US & Canada),Pastries,Scones,1,Mixed berry,,,$4.25,$0.00,$4.25,$0.21,To Go,,,
12/31/17,15:13:00,Pacific Time (US & Canada),Coffee,Latte,1,"Small, 12 oz",,,$3.80,$0.00,$3.80,$0.19,To Go,,,
